symbol,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009
VTI1A,6.334989639,6.208340029,6.539753901,6.259117523,6.335707513,6.390291087,6.355339297,6.405668532,6.100310158
KIF6,5.2170758,5.05009558,5.079482778,5.614851208,5.405434096,5.499007691,5.679210316,5.383981556,5.522357808
IQCD,6.267945292,6.506571381,6.758679169,6.517294959,6.509877003,7.066538542,6.582703737,6.884482405,7.302721791
TAGAP,7.662185923,7.482166285,7.171436074,7.373292927,7.612568089,7.643104841,7.482810671,7.658769001,7.797264193
STON2,6.572577906,6.829257784,6.396309631,6.580926501,7.184242133,6.146023209,6.522336805,6.38971024,6.440427061
SERPINA12,6.204022663,6.101907711,5.884886042,6.077410024,6.267255777,5.898445417,5.899078393,5.872481862,6.034275749
LETM2,5.732552396,5.613097966,5.835270507,5.883894801,6.011254165,5.517837925,5.58667027,5.589859263,5.291398806
BSND,5.154436105,5.106348824,5.079096151,5.149609933,5.013212084,5.098216221,5.158522861,5.541730068,4.909690647
CLEC4C,5.860471259,5.601376124,5.480585092,5.68443913,5.78964522,5.368906208,5.642736562,5.207808728,5.776017333
NLRC4,5.347731793,5.441760632,6.02035539,5.536271553,5.576775539,5.51814092,5.591141736,6.28472337,5.504880586
PRSS36,7.27075389,7.145294752,7.170250792,6.850027327,7.058126828,7.412423028,7.283647629,7.466083858,7.433640435
ZDHHC15,5.255446146,4.938175227,5.041515453,5.119228335,5.240535011,5.065851698,5.13706043,5.19361396,5.217013987
RAI1,8.45235178,8.465799872,8.113105035,8.41484486,8.114882364,8.70122541,8.528379425,8.278003477,8.202253833
CDK15,6.898069018,7.052986023,7.153411853,7.282247205,7.075907057,6.36020842,6.718815672,6.995243585,7.005013457
ZNF570,6.451793375,6.480085566,6.138426018,6.531813943,6.636780004,6.002416314,6.373925146,6.065930668,6.126384658
NUDT9P1,4.687037517,4.789156889,4.55555337,4.883784523,4.72607694,4.692310383,4.727641652,4.775436954,4.818876315
BTBD16,6.269538188,6.370159941,6.628325044,6.195428162,5.666444409,6.278117294,6.427483906,5.893191247,6.279207337
RTP3,6.941719217,7.043426813,6.711986256,7.040717875,7.122338254,7.025140125,6.973691088,6.86795182,7.173864385
TSPEAR,4.40236849,4.624882756,4.447622719,4.369872305,4.426549326,4.664317058,4.62142701,4.378184321,4.604534221
MIPOL1,3.934933891,3.913705853,4.3079446,3.928679619,3.919890911,4.033512853,4.010692565,4.223852401,4.015491937
C6orf141,8.510440848,7.487572609,7.509210169,7.926880216,8.100323656,8.10319875,7.403378213,7.450251349,7.093726049
ALMS1P1,6.107597931,6.220276283,6.131309847,6.319268998,5.932038784,6.725235682,6.520130338,5.988133514,6.315396456
MYO3B,4.588171903,4.411518624,4.529547586,4.491569523,4.359500874,4.625646661,4.67748169,4.525906962,4.438839382
ADAM21,6.331497503,5.883514055,6.216384819,5.938079513,6.313271912,5.838701899,6.121619429,6.102933843,6.155060612
TRIML2,5.16070232,5.395807152,5.18204829,5.268562439,5.196013517,5.723825581,5.442654184,5.22678611,5.709349908
ABCC13,5.057766084,6.294165453,4.883421142,5.397674357,5.03443486,5.240298725,5.092002087,4.813724618,4.829805208
IL12RB1,5.351201079,5.355281955,6.178397383,5.116260852,5.264534223,5.903839689,5.429729666,5.848879389,5.625380367
GTF2A1L,5.147118278,4.915323491,4.796751265,4.899062808,5.339718651,4.89943272,5.085936179,5.054457631,4.951303323
TRPV3,7.663180463,7.939593142,7.024553996,7.623480285,7.764070465,7.322837039,7.596530561,7.438011376,7.710895941
CNBD1,5.238480557,5.013556048,5.168477204,5.384028651,5.705248344,5.299598124,5.209814501,5.407987893,4.945283948
ABCC12,5.730492882,5.71271243,5.134246579,6.056945535,5.885654463,5.266863127,5.595444821,5.323678864,5.163392317
MMP21,4.045539609,3.956680945,4.183533727,4.073503869,4.149250589,4.108395996,4.136439409,4.163051577,4.060078423
