X1,X2
FGF4,CCN2
FGF4,FGF23
FGF4,GPC1
FGF4,MSX2
FGF4,FRS2
FGF4,CCL4
FGF4,CNTF
FGF4,BMP3
FGF4,NGF
FGF4,GREM2
FGF4,MSX1
FGF4,IHH
FGF4,CXCL9
FGF4,FGF3
FGF4,WNT7A
FGF4,EDN1
FGF4,CBL
FGF4,PIK3CB
FGF4,VEGFD
FGF4,FGF20
FGF4,MYOD1
FGF4,ALX4
FGF4,FGF6
FGF4,IL17A
FGF4,HAND2
FGF4,CXCL10
FGF4,JUN
FGF4,SHH
FGF4,SP7
FGF4,EPO
FGF4,NGFR
FGF4,KLB
FGF4,IRS1
FGF4,PTH
FGF4,TLR9
FGF4,CCL11
FGF4,MMP9
FGF4,SOX1
FGF4,HBEGF
FGF4,IL10
FGF4,CDX4
FGF4,LRP6
FGF4,BGLAP
FGF4,CSF2
FGF4,IFNG
FGF4,FLRT1
FGF4,CSPG4
FGF4,SOX2
FGF4,CCL5
FGF4,CXCL1
FGF4,SOX7
FGF4,FGF9
FGF4,KLF17
FGF4,AFP
FGF4,NOG
FGF4,CCND1
FGF4,ERVW-1
FGF4,BMP2
FGF4,LIF
FGF4,FADD
FGF4,IL11
FGF4,VEGFC
FGF4,GDF3
FGF4,NRAS
FGF4,IL3
FGF4,LEP
FGF4,CALML3
FGF4,OLIG2
FGF4,SERPINE1
FGF4,SOX17
FGF4,PDX1
FGF4,CYP7A1
FGF4,CALML5
FGF4,OSM
FGF4,PIK3R4
FGF4,WNT3A
FGF4,LEFTY1
FGF4,SNAI1
BPIFB2,CLDN6
BPIFB2,FAM20C
BPIFB2,C6orf58
BPIFB2,BPIFB4
BPIFB2,BPIFB3
GPATCH1,RNF113A
GPATCH1,BCAS2
GPATCH1,LENG1
GPATCH1,MFAP1
GPATCH1,KIAA1143
GPATCH1,PPIL1
GPATCH1,CDC5L
GPATCH1,MRM1
GPATCH1,SF3B6
GPATCH1,PRPF19
NGFR,FGF20
NGFR,MAGEH1
NGFR,NXPH3
NGFR,VEGFD
NGFR,PIK3CB
NGFR,EREG
NGFR,PSENEN
NGFR,JUN
NGFR,CD27
NGFR,FGF6
NGFR,CD24
NGFR,ARHGDIB
NGFR,NGF
NGFR,NTSR1
NGFR,FGF3
NGFR,PTGER4
NGFR,SMPD2
NGFR,FGF23
NGFR,EFNA4
NGFR,OMG
NGFR,CRYBA1
NGFR,CNTF
NGFR,TNFRSF21
NGFR,FGF18
NGFR,AATF
NGFR,B4GALNT2
NGFR,PDLIM1
NGFR,MPO
NGFR,SOCS3
