X1,X2
PSMD4,PSME4
PSMD4,PSME3
PSMD4,PSME1
NDE1,NUP98
ATM,UBE2V2
PSMD3,UBB
PSMD3,UBC
PSMC6,PSME3
PSMC6,PSME4
PSMC6,PSME1
CDC45,MCM10
RNF168,SUMO1
ATM,ATR
B9D2,NDE1
PSMC6,PSMF1
CENPK,ITGB3BP
BUB1,ZWINT
BLM,NBN
PSME1,UBA52
CLASP2,ITGB3BP
CENPL,ZWINT
DYNC1H1,NUP160
PSMD5,PSMF1
RCC2,ZWINT
B9D2,NUF2
HIST1H4A,RNF8
CDC20,UBE2C
MAPK8,RAD50
INCENP,NUP43
UBE2C,UBE2E1
RANBP2,RPS27
DYNC1I2,RANGAP1
B9D2,KIF18A
B9D2,NUDC
ATM,BRCC3
AHCTF1,CKAP5
UBE2C,UBE2D1
CENPF,PLK1
CENPH,ERCC6L
CENPF,INCENP
CENPF,ITGB3BP
BRCA1,TP53
CENPL,PPP1CC
BIRC5,MIS12
PSMD5,PSMD6
PSMD5,PSMD7
B9D2,SEC13
PSMD5,PSMD8
PSMD5,PSMD9
PSMD3,UBA52
AHCTF1,NUDC
CHEK2,MDC1
DYNC1I1,NSL1
PSMD4,PSMF1
DYNC1H1,NUP133
BIRC5,SPC24
BIRC5,SPC25
RAD50,RPA2
RAD50,RPA3
PSMD5,PSME1
RAD50,RPA1
PSMD5,PSME3
PSMD5,PSME4
PSMD2,UBA52
NUF2,TAOK1
INCENP,NUP37
CENPQ,MAD1L1
B9D2,MIS12
CDC20,RANBP2
AHCTF1,MIS12
PPP5C,UBE2N
NUP107,ZW10
PAFAH1B1,RANGAP1
BLM,TP53
AURKB,MAPRE1
NBN,RAD1
CHEK1,TP53
PLK1,ZWILCH
PSMC4,PSMD11
AURKB,SPC25
PSMC4,PSMD12
AURKB,SPC24
PSMC4,PSMD13
PSMC4,PSMD14
CENPI,NUP107
BUB1,RANBP2
PSMC4,PSMD10
CENPO,KNTC1
CDC20,NDC80
ATM,BRCA1
DYNC1H1,NUP107
ATM,UIMC1
INCENP,ZW10
DSN1,KIF2B
DSN1,KIF2A
DSN1,KIF2C
NDC80,RCC2
MCM4,MCM5
MCM4,MCM6
CENPL,XPO1
NDE1,SKA2
AURKB,MIS12
MCM4,MCM7
NUP107,XPO1
BUB3,KNTC1
MCM4,MCM8
HERC2,UBA52
NDE1,SKA1
AURKB,SEC13
CENPT,PLK1
INCENP,SEC13
INCENP,NSL1
BRCA1,RBBP8
RPA3,TP53
NBN,TOP3A
INCENP,SPC25
CENPI,CKAP5
INCENP,SPC24
DSN1,MAD2L1
DYNLL1,MAD2L1
CENPM,KNTC1
CENPI,NUP133
CKAP5,ERCC6L
CLASP1,PLK1
AHCTF1,SPC24
INCENP,MIS12
AHCTF1,SPC25
PSMF1,TP53
CENPI,NUP160
PAFAH1B1,SPC24
KIF2A,MAPRE1
ATR,RAD1
PAFAH1B1,SPC25
PLK1,SEH1L
BIRC5,ZWILCH
B9D2,CKAP5
INCENP,XPO1
MIS12,NUP43
DYNLL2,MAD1L1
CENPQ,CLASP2
AHCTF1,SEC13
CENPQ,CLASP1
BUB1,MAD1L1
ERCC6L,XPO1
PSMD4,TP53
BIRC5,NUP85
PSMA2,PSMD12
PSMA2,PSMD11
PSMA2,PSMD14
PSMA2,PSMD13
PSMA2,PSMD10
MIS12,SEC13
NUP43,PPP1CC
RAD17,RMI1
MAD2L1,RPS27
AURKB,NUP37
KIF18A,ZWILCH
PMF1,PPP1CC
TP53BP1,UBE2N
CDKN2A,UBC
AURKB,NUP43
MIS12,NUP37
MIS12,SPC25
MIS12,SPC24
NSL1,SEH1L
CENPI,PMF1
CDC20,MAD1L1
CENPQ,KIF18A
NDE1,ZWILCH
CDK2,MCM3
CDK2,MCM2
AURKB,ITGB3BP
PSMA5,UBA52
CDK2,MCM5
CDK2,MCM4
DYNLL2,RANBP2
ANAPC11,UBE2C
BIRC5,NUP98
RAD50,UBB
RAD50,UBC
CENPQ,PLK1
CENPA,ZWINT
ATM,BARD1
CDCA8,CLIP1
CLASP2,RPS27
CENPT,INCENP
PSME4,TP53
MCM7,MCM8
ERCC6L,ZW10
CENPE,KNTC1
CDK2,MCM7
CDK2,MCM6
CDK2,MCM8
PSMA4,UBA52
MDM2,UBC
MDM2,UBB
NDC80,NUP160
BIRC5,NUP107
CENPE,RANBP2
ATM,BLM
CENPQ,SEH1L
CENPH,MAPRE1
EYA3,HIST3H3
RBBP8,RPA3
BRCC3,SUMO1
RBBP8,RPA2
RBBP8,RPA1
KIF2C,RPS27
SUMO1,TP53BP1
BRCA1,H2AFX
DYNC1LI1,PAFAH1B1
ITGB3BP,PAFAH1B1
BIRC5,NUP133
NDC80,TAOK1
MAD2L1,UBE2E1
HERC2,PIAS4
PAFAH1B1,PPP1CC
KAT5,NBN
MAD2L1,UBE2D1
PSMC2,UBA52
CENPI,RCC2
CENPT,SEC13
CDC20,KNTC1
DYNLL1,NUP37
NBN,RNF168
PAFAH1B1,SEC13
PPP5C,RAD50
PSME3,UBA52
BIRC5,NUP160
CENPT,CKAP5
DYNLL1,RANBP2
CENPM,ITGB3BP
DYNLL1,NUP43
ATM,UBE2I
BUB3,SEH1L
ATM,UBE2N
CENPE,RANGAP1
RFC5,TOP3A
CLIP1,NDE1
PPP1CC,RANBP2
CDK2,CLSPN
CKAP5,DYNC1H1
KAT5,MDC1
CENPN,RANGAP1
CENPN,RPS27
AURKB,BIRC5
BRCA1,KAT5
BRCA1,TP53BP1
B9D2,BIRC5
CLASP1,NUDC
PSMD3,PSMF1
CENPA,MAD2L1
BRCA1,DNA2
PSMA4,PSMB10
NUDC,ZWILCH
PSMD3,PSME1
HERC2,KAT5
PSMD3,PSME3
PSMD3,PSME4
ATM,RAD50
NBN,UBE2V2
NUF2,ZWINT
DYNLL1,NUP85
CENPT,SPC25
CLASP1,NDE1
CENPT,SPC24
PSMD3,PSMD6
PSMD3,PSMD7
PSMD3,PSMD8
PSMD3,PSMD9
CENPT,MIS12
BARD1,TP53BP1
CLASP1,NUF2
PSMD3,PSMD4
PSMD3,PSMD5
NUP37,RCC2
NUP85,RCC2
DYNLL1,NUP98
PAFAH1B1,ZWILCH
CHEK2,RAD50
RAD50,UBE2I
CLASP1,DYNLL1
NUP133,PLK1
CLASP1,DYNLL2
CKAP5,ZW10
RAD50,UBE2N
CDC20,KIF18A
NDC80,NUP133
AHCTF1,MAD1L1
MAD1L1,TAOK1
SPC25,TAOK1
MAD2L1,PPP1CC
DYNC1I1,MAD1L1
CENPA,ITGB3BP
RFC2,TP53
CENPM,ZWILCH
CKAP5,NSL1
PSMD6,RPS27A
CENPI,TAOK1
NDC80,NUP107
APBB1,HIST1H4A
CENPM,ZWINT
CDC20,PMF1
ATM,RAD17
CDC7,CDK2
CENPK,SKA2
CENPK,SKA1
CENPL,NUP160
CKAP5,KIF18A
PSMA2,TP53
ITGB3BP,ZWILCH
KIF2B,MAPRE1
CDC45,MCM5
BRCA1,RFC2
CDC45,MCM6
CDC45,MCM7
BRCA1,RFC4
CDC45,MCM8
AURKB,NSL1
BRCA1,RFC3
CDC45,MCM2
BRCA1,RFC5
CDC45,MCM3
CDC45,MCM4
HIST1H4A,NBN
PSMD1,UBA52
BUB1B,DSN1
CLIP1,ITGB3BP
PSMA1,PSMB10
RFC3,TOP3A
ITGB3BP,MAD2L1
MDM2,TP53
KIF2C,RANGAP1
CLASP2,MAD2L1
AURKB,ZW10
ITGB3BP,PPP1CC
PPP5C,UBE2V2
RCC2,TAOK1
CENPO,CLIP1
ERCC6L,SEH1L
KIF2B,NDE1
INCENP,MAD1L1
BUB1B,DYNC1I1
BUB1B,DYNC1I2
PSMB7,PSMD14
PSMB7,PSMD13
PMF1,ZWILCH
KIF2B,NUF2
PSMB7,PSMD12
PSMB7,PSMD11
CLIP1,KIF18A
PSMB7,PSMD10
PSMB5,UBA52
MAD2L1,ZWILCH
MAPRE1,NUF2
CKAP5,RPS27
MAPRE1,NDE1
CENPL,NUP133
CENPE,CLIP1
KIF2B,NUDC
